trip_id,order_id,rider_id,timestamp,latitude,longitude,speed_kmph,heading,distance_from_start_km,elapsed_time_sec
1,ORD000001,RID058,2025-01-01 09:01:00,12.858799,80.168523,14.62,83.76,0.026,0
1,ORD000001,RID058,2025-01-01 09:01:20,12.858166,80.169334,32.05,252.48,0.138,20
1,ORD000001,RID058,2025-01-01 09:01:40,12.857436,80.169823,19.79,312.95,0.235,40
1,ORD000001,RID058,2025-01-01 09:02:00,12.856967,80.170224,23.83,100.03,0.303,60
1,ORD000001,RID058,2025-01-01 09:02:20,12.856056,80.171072,14.86,136.77,0.439,80
1,ORD000001,RID058,2025-01-01 09:02:40,12.85549,80.171408,19.41,15.64,0.512,100
1,ORD000001,RID058,2025-01-01 09:03:00,12.854901,80.171844,37.82,28.37,0.593,120
1,ORD000001,RID058,2025-01-01 09:03:20,12.854179,80.172642,36.79,130.19,0.71,140
1,ORD000001,RID058,2025-01-01 09:03:40,12.85349,80.172908,30.52,278.3,0.792,160
1,ORD000001,RID058,2025-01-01 09:04:00,12.853248,80.173846,36.26,136.85,0.897,180
1,ORD000001,RID058,2025-01-01 09:04:20,12.852343,80.174381,16.55,127.9,1.013,200
1,ORD000001,RID058,2025-01-01 09:04:40,12.851813,80.174861,31.14,25.7,1.092,220
1,ORD000001,RID058,2025-01-01 09:05:00,12.851156,80.175323,18.85,166.41,1.18,240
1,ORD000001,RID058,2025-01-01 09:05:20,12.850335,80.176064,31.27,79.06,1.301,260
1,ORD000001,RID058,2025-01-01 09:05:40,12.849723,80.176531,13.57,295.85,1.386,280
1,ORD000001,RID058,2025-01-01 09:06:00,12.849325,80.176893,13.85,328.73,1.445,300
1,ORD000001,RID058,2025-01-01 09:06:20,12.848567,80.177598,17.95,179.72,1.559,320
1,ORD000001,RID058,2025-01-01 09:06:40,12.848087,80.178106,16.0,50.27,1.635,340
1,ORD000001,RID058,2025-01-01 09:07:00,12.847379,80.178599,32.92,154.24,1.73,360
1,ORD000001,RID058,2025-01-01 09:07:20,12.846659,80.179057,39.93,49.8,1.824,380
1,ORD000001,RID058,2025-01-01 09:07:40,12.845976,80.179799,36.11,55.02,1.935,400
1,ORD000001,RID058,2025-01-01 09:08:00,12.84517,80.180307,28.7,138.52,2.04,420
1,ORD000001,RID058,2025-01-01 09:08:20,12.844749,80.180747,19.04,199.16,2.106,440
1,ORD000001,RID058,2025-01-01 09:08:40,12.844284,80.181399,15.21,318.52,2.194,460
1,ORD000001,RID058,2025-01-01 09:09:00,12.843549,80.181988,21.52,105.66,2.297,480
1,ORD000001,RID058,2025-01-01 09:09:20,12.842614,80.182152,32.22,259.09,2.403,500
1,ORD000001,RID058,2025-01-01 09:09:40,12.842382,80.183077,26.22,38.31,2.506,520
2,ORD000002,RID153,2025-01-01 09:02:00,13.144604,80.227055,26.85,0.21,0.015,0
2,ORD000002,RID153,2025-01-01 09:02:20,13.143873,80.226415,38.01,316.34,0.122,20
2,ORD000002,RID153,2025-01-01 09:02:40,13.143504,80.226298,13.62,316.08,0.165,40
2,ORD000002,RID153,2025-01-01 09:03:00,13.142939,80.225926,25.61,24.92,0.239,60
2,ORD000002,RID153,2025-01-01 09:03:20,13.142223,80.226005,15.59,171.1,0.319,80
2,ORD000002,RID153,2025-01-01 09:03:40,13.141494,80.225494,36.43,152.33,0.417,100
2,ORD000002,RID153,2025-01-01 09:04:00,13.140703,80.22537,32.44,72.41,0.506,120
2,ORD000002,RID153,2025-01-01 09:04:20,13.14013,80.225337,30.2,157.72,0.57,140
2,ORD000002,RID153,2025-01-01 09:04:40,13.13961,80.224639,18.29,121.71,0.665,160
2,ORD000002,RID153,2025-01-01 09:05:00,13.139022,80.224433,18.17,25.56,0.734,180
2,ORD000002,RID153,2025-01-01 09:05:20,13.13842,80.224172,37.35,309.47,0.806,200
2,ORD000002,RID153,2025-01-01 09:05:40,13.137517,80.223915,30.73,77.13,0.91,220
2,ORD000002,RID153,2025-01-01 09:06:00,13.136925,80.224003,27.99,170.16,0.977,240
2,ORD000002,RID153,2025-01-01 09:06:20,13.136628,80.223678,17.33,34.9,1.025,260
2,ORD000002,RID153,2025-01-01 09:06:40,13.135829,80.223225,25.08,262.47,1.126,280
2,ORD000002,RID153,2025-01-01 09:07:00,13.135327,80.223245,14.76,144.94,1.182,300
2,ORD000002,RID153,2025-01-01 09:07:20,13.134537,80.222923,18.96,68.48,1.276,320
2,ORD000002,RID153,2025-01-01 09:07:40,13.133969,80.222442,19.8,89.93,1.358,340
2,ORD000002,RID153,2025-01-01 09:08:00,13.133583,80.222192,36.12,198.12,1.409,360
2,ORD000002,RID153,2025-01-01 09:08:20,13.132524,80.222209,35.41,348.84,1.526,380
2,ORD000002,RID153,2025-01-01 09:08:40,13.132339,80.221873,16.66,174.83,1.568,400
2,ORD000002,RID153,2025-01-01 09:09:00,13.131359,80.221388,13.64,136.43,1.689,420
